>> Tool, Iteration, Result GCC O2, Result CLANG O2, SEED, File-Size, Start, End, Gen-Start, Gen-End, DIFF-Start, DIFF-END, TEST1-Comp-Start, TEST1-RUN-Start, TEST1-RUN-end, TEST2-Comp-Start, TEST2-Comp-end/TEST2-RUN-Start, TEST2-RUN-end
rm: cannot remove 'res1.txt': No such file or directory
>> Csmith, 59, checksum = 676B0ADC, checksum = 676B0ADC,  * Seed:      3864457460, 231331, 21:13:39, 21:13:45, 21:13:39, 21:13:43, 21:13:43, 21:13:45, 21:13:43, 21:13:44, 21:13:44, 21:13:44, 21:13:45, 21:13:45
>> Csmith, 60, checksum = DF266070, checksum = DF266070,  * Seed:      2535605912, 2980, 21:13:45, 21:13:45, 21:13:45, 21:13:45, 21:13:45, 21:13:45, 21:13:45, 21:13:45, 21:13:45, 21:13:45, 21:13:45, 21:13:45
>> Csmith, 61, checksum = 3CAD8AF8, checksum = 3CAD8AF8,  * Seed:      3516659572, 205987, 21:13:45, 21:13:50, 21:13:45, 21:13:49, 21:13:49, 21:13:50, 21:13:49, 21:13:50, 21:13:50, 21:13:50, 21:13:50, 21:13:50
>> Csmith, 62, checksum = EFE7795B, checksum = EFE7795B,  * Seed:      637534304, 129747, 21:13:50, 21:13:53, 21:13:50, 21:13:53, 21:13:53, 21:13:53, 21:13:53, 21:13:53, 21:13:53, 21:13:53, 21:13:53, 21:13:53
>> Csmith, 63, checksum = 6522DF69, checksum = 6522DF69,  * Seed:      2945009328, 3224, 21:13:53, 21:13:54, 21:13:53, 21:13:53, 21:13:53, 21:13:54, 21:13:53, 21:13:54, 21:13:54, 21:13:54, 21:13:54, 21:13:54
>> Csmith, 64, checksum = 0, checksum = 0,  * Seed:      3592575868, 2336, 21:13:54, 21:13:54, 21:13:54, 21:13:54, 21:13:54, 21:13:54, 21:13:54, 21:13:54, 21:13:54, 21:13:54, 21:13:54, 21:13:54
>> Csmith, 65, checksum = 235A51B3, checksum = 235A51B3,  * Seed:      4035137548, 267865, 21:13:54, 21:14:02, 21:13:54, 21:14:00, 21:14:00, 21:14:02, 21:14:00, 21:14:01, 21:14:01, 21:14:01, 21:14:02, 21:14:02
>> Csmith, 66, checksum = 7FBD925E, checksum = 7FBD925E,  * Seed:      3777476844, 105375, 21:14:02, 21:14:09, 21:14:02, 21:14:08, 21:14:08, 21:14:09, 21:14:08, 21:14:08, 21:14:08, 21:14:08, 21:14:09, 21:14:09
>> Csmith, 67, checksum = A26A8B17, checksum = A26A8B17,  * Seed:      3873703376, 77220, 21:14:09, 21:14:13, 21:14:09, 21:14:12, 21:14:12, 21:14:13, 21:14:12, 21:14:12, 21:14:12, 21:14:12, 21:14:13, 21:14:13
>> Csmith, 68, checksum = 43A189C7, checksum = 43A189C7,  * Seed:      3152313764, 185258, 21:14:13, 21:14:16, 21:14:13, 21:14:15, 21:14:15, 21:14:16, 21:14:15, 21:14:15, 21:14:15, 21:14:15, 21:14:16, 21:14:16
